Subject,DocUnderstanding,Fixation Count,Fixation Duration,Forward Saccade Count,Backward Saccade Count,Ratio Forward/Backward,Velocity,Forward Saccade Length,Backward Saccade Length,,,,,,,,,,
1,5,27,301.962963,20,6,3.333333333,0.401962726,133.0623233,-441.3987032,,,,,,,,,,
1,5,257,317.8054475,200,56,3.571428571,0.444532939,126.3833407,-457.2436842,,,,,,,,,,
1,5,119,274.6386555,85,33,2.575757576,0.471560429,142.0065672,-331.7651189,Feature Name, Fixation Count, Fixation Duration,Forward Saccade Count,Backward Saccade Count,Ratio Forward/Backward,Velocity,Forward Saccade length,Backward Saccade length,
1,4,172,314.2674419,132,39,3.384615385,0.386760913,108.8608446,-354.0170219,Average values,111.5302013,291.4884032,82.13758389,28.39261745,3.152371195,0.325132059,114.9908351,-327.4633662,
1,5,83,282.1204819,56,26,2.153846154,0.527302772,157.0245594,-370.1056779,Std values,65.89890132,70.11175956,49.17143545,19.43972475,1.387772555,0.102982487,39.64679995,128.8636239,
1,5,146,300.130137,112,33,3.393939394,0.388219414,114.4970237,-408.667033,,,,,,,,,,
1,5,35,325.1142857,26,8,3.25,0.326428179,104.2963812,-454.1857064,,,,,,,,,,
1,5,61,290.1639344,42,18,2.333333333,0.397906636,95.14771402,-236.1129961,,,,,,,,,,
1,5,62,327.9354839,46,15,3.066666667,0.382098626,93.2040278,-316.7095185,,,,,,,,,,
1,4,143,334.986014,103,39,2.641025641,0.305532829,96.5964763,-267.2606522,,,,,,,,,,
1,5,127,352.3307087,97,29,3.344827586,0.301747531,95.03899006,-280.3294609,,,,,,,,,,
1,5,101,281.3168317,68,32,2.125,0.544192946,174.2786136,-383.3096575,,,,,,,,,,
1,5,116,308.6293103,92,23,4,0.281784735,89.80773329,-341.2064469,,,,,,,,,,
1,5,137,325.4014599,103,33,3.121212121,0.349330884,98.6176737,-285.5938146,,,,,,,,,,
1,5,40,238.8,27,12,2.25,0.49572125,130.7299049,-337.3666757,,,,,,,,,,
1,4,223,321.058296,156,66,2.363636364,0.362114097,99.19409081,-235.5245121,,,,,,,,,,
1,5,166,352.0361446,113,52,2.173076923,0.339863791,108.4767578,-236.7730865,,,,,,,,,,
1,5,155,344.8451613,106,48,2.208333333,0.373707559,123.6211496,-278.1782117,,,,,,,,,,
1,5,81,374.6049383,61,19,3.210526316,0.263457804,80.8280902,-231.9076459,,,,,,,,,,
2,2,98,402.1326531,76,21,3.619047619,0.188118348,56.42929315,-232.4578796,,,,,,,,,,
2,4,107,391,77,29,2.655172414,0.234305276,100.3915507,-271.0545772,,,,,,,,,,
2,2,135,380.7481481,102,32,3.1875,0.229855279,78.3805551,-254.6915326,,,,,,,,,,
2,4,123,309.9186992,84,38,2.210526316,0.253375647,95.52931508,-194.1821248,,,,,,,,,,
2,4,59,299.6101695,39,19,2.052631579,0.32474227,119.0284861,-187.4075886,,,,,,,,,,
2,3,223,353.0852018,167,55,3.036363636,0.261902532,94.13920237,-265.2677498,,,,,,,,,,
2,4,247,324.2064777,172,74,2.324324324,0.29329774,105.8939882,-234.1009332,,,,,,,,,,
3,5,57,322.1403509,48,8,6,0.330556958,84.08763069,-558.3098759,,,,,,,,,,
3,5,89,297.9550562,81,7,11.57142857,0.316558074,85.47480256,-934.9942114,,,,,,,,,,
3,5,162,286.8148148,140,21,6.666666667,0.341739919,91.9975963,-630.4437317,,,,,,,,,,
3,5,44,253.1818182,35,8,4.375,0.351817492,125.26225,-519.9795055,,,,,,,,,,
3,5,107,301.4672897,90,16,5.625,0.330669767,91.9813979,-477.13789,,,,,,,,,,
3,3,172,321.8953488,135,36,3.75,0.363996144,106.8407325,-402.5608173,,,,,,,,,,
3,5,154,322.2272727,124,29,4.275862069,0.300454003,93.57616342,-382.2562187,,,,,,,,,,
3,5,31,307.9354839,25,5,5,0.360741299,122.9019051,-775.5408452,,,,,,,,,,
3,5,58,356.4827586,49,8,6.125,0.250081057,85.95855986,-452.7205666,,,,,,,,,,
3,5,212,309.4103774,185,26,7.115384615,0.34296412,99.18587657,-654.8281484,,,,,,,,,,
3,5,69,244.8115942,58,10,5.8,0.32619034,97.99149226,-509.2060464,,,,,,,,,,
3,4,125,332.12,97,27,3.592592593,0.264186678,73.98742159,-256.4361277,,,,,,,,,,
3,5,37,259.1081081,27,9,3,0.381474911,114.8092,-432.8280199,,,,,,,,,,
3,3,140,318.0785714,115,24,4.791666667,0.258908689,82.73824782,-376.1927638,,,,,,,,,,
3,4,149,306.1275168,118,30,3.933333333,0.293718532,84.39040411,-354.4306621,,,,,,,,,,
3,3,156,359.525641,129,26,4.961538462,0.291500511,94.23990076,-484.2127236,,,,,,,,,,
3,5,87,236.3448276,66,20,3.3,0.518801903,128.8332959,-376.1788725,,,,,,,,,,
3,5,38,274.5,29,8,3.625,0.406069696,118.269426,-520.5625512,,,,,,,,,,
3,5,98,293.8061224,83,14,5.928571429,0.425562271,124.7598062,-714.3049814,,,,,,,,,,
4,4,157,313.5159236,109,47,2.319148936,0.360957461,104.2563571,-256.1404278,,,,,,,,,,
4,5,72,318.8194444,52,19,2.736842105,0.245440244,95.54978285,-225.8824842,,,,,,,,,,
4,5,27,242.6666667,16,10,1.6,0.390117605,186.1709641,-183.1777241,,,,,,,,,,
4,5,34,272.7058824,24,9,2.666666667,0.568359624,171.9314211,-465.4572764,,,,,,,,,,
4,4,133,296.5488722,106,26,4.076923077,0.286094561,76.60614546,-296.9868246,,,,,,,,,,
4,4,111,383.8558559,92,18,5.111111111,0.312181644,90.52682001,-382.9664504,,,,,,,,,,
4,4,127,340,100,26,3.846153846,0.285132324,80.06923436,-305.1685032,,,,,,,,,,
4,5,77,301.1948052,52,24,2.166666667,0.348767361,119.5247489,-301.1066439,,,,,,,,,,
4,5,152,307.8486842,125,26,4.807692308,0.310554965,80.96838205,-377.7743505,,,,,,,,,,
4,2,50,290.68,36,13,2.769230769,0.371642748,126.9118277,-314.7097837,,,,,,,,,,
4,5,118,356.4322034,90,27,3.333333333,0.305462541,88.58956614,-281.7000095,,,,,,,,,,
4,5,72,280.2638889,48,23,2.086956522,0.384481228,131.0377795,-257.5430597,,,,,,,,,,
4,5,61,299.147541,41,19,2.157894737,0.531746692,170.6170319,-377.3858472,,,,,,,,,,
4,5,118,344.8559322,94,23,4.086956522,0.328147379,92.08284063,-357.2366504,,,,,,,,,,
